School Name,Location,Latitude,Longitude,Year of Establishment
Alabama A&M University,"Normal, AL",34.7834,-86.5685,1875
Alabama State University,"Montgomery, AL",32.3643,-86.2957,1867
Albany State University,"Albany, GA",31.5794,-84.1557,1903
Alcorn State University,"Lorman, MS",31.8747,-91.1392,1871
Allen University,"Columbia, SC",34.0126,-81.0235,1870
Arkansas Baptist College,"Little Rock, AR",34.7357,-92.2644,1884
Benedict College,"Columbia, SC",34.0291,-81.0235,1870
Bennett College,"Greensboro, NC",36.0726,-79.791,1873
Bethune-Cookman University,"Daytona Beach, FL",29.2108,-81.0228,1904
Bishop State Community College,"Mobile, AL",30.6944,-88.0431,1927
Bluefield State College,"Bluefield, WV",37.2678,-81.222,1895
Bowie State University,"Bowie, MD",38.9569,-76.7422,1865
Central State University,"Wilberforce, OH",39.7122,-83.8825,1887
Charles R. Drew University of Medicine and  Science,"Los Angeles, CA",33.9886,-118.3087,1966
Cheyney University of Pennsylvania,"Cheyney, PA",39.9257,-75.5205,1837
Claflin University,"Orangeburg, SC",33.4963,-80.8559,1869
Clark Atlanta University,"Atlanta, GA",33.7489,-84.3881,1988
Clinton College,"Rock Hill, SC",34.9249,-81.0251,1894
Coahoma Community College,"Clarksdale, MS",34.1975,-90.5709,1949
Concordia College Alabama,"Selma, AL",32.4074,-87.021,1922
Coppin State University,"Baltimore, MD",39.3142,-76.6488,1900
Delaware State University,"Dover, DE",39.1897,-75.5346,1891
Denmark Technical College,"Denmark, SC",33.3278,-81.1478,1947
Dillard University,"New Orleans, LA",29.9974,-90.1037,1869
Elizabeth City State University,"Elizabeth City, NC",36.2946,-76.251,1891
Fayetteville State University,"Fayetteville, NC",35.0527,-78.8784,1867
Fisk University,"Nashville, TN",36.1667,-86.7833,1866
Florida A&M University,"Tallahassee, FL",30.4383,-84.2807,1887
Florida Memorial University,"Miami Gardens, FL",25.942,-80.2456,1879
Fort Valley State University,"Fort Valley, GA",32.5536,-83.8889,1895
Gadsden State Community College,"Gadsden, AL",34.0143,-85.9708,1985
Grambling State University,"Grambling, LA",32.527,-92.7149,1901
H Councill Trenholm State Community College,"Montgomery, AL",32.3473,-86.267,1963
Hampton University,"Hampton, VA",37.026,-76.3452,1868
Harris-Stowe State University,"St. Louis, MO",38.6367,-90.2343,1857
Hinds Community College,"Raymond, MS",32.2678,-90.4142,1917
American Baptist College,"Nashville, TN",36.2024,86.79, 1924
Medgar Evers College,"Brooklyn, NY",40.6657,73.9555,1970
Edward Waters University,"Jacksonville,  FL",30.3437,81.6837,1866
Howard University ,"Washington, D.C.",38.9227,77.0194,1867
J.F. Drake State Technical College,"Huntsville, AL",34.7718,86.5733,1967
Jackson State University,Jackson MS,32.2969,90.2064,1877
 Jarvis Christian College,"Hawkins, TX",32.5892,95.1798,1912
Johnson C. Smith University,"Charlotte,NC",35.2434,80.8558,1867
Kentucky State University," Frankfort, KY",38.2,84.8565,1890
Lane College,"Jackson, TN",35.6281,88.8064,1882
Langston University,"Langston, OK",35.9459,97.2629,1897
Lawson State Community College,"Birmingham, AL",33.4506233,86.8891388,1949
Lincoln University -Missouri,"Jefferson City, MO",38.5638,92.1695,1866
Lincoln University -Pennsylvania,"Lincoln University, PA",39.8087,75.9271,1854
,,,,
"Livingstone College""","Salisbury, NC",55.9007,3.5181,1882
,,,,
"Miles College""","Fairfield, AL",33.481,86.9089,1898
,,,,
"Mississippi Valley State University"""," Itta Bena, MS",33.5127,90.3417,1950
Morehouse College,"Atlanta, GA",33.7473,84.4155,1867
Morgan State University,"Baltimore, MD",39.3438,76.5844,1867
Morris College,"Sumter, SC",33.938,80.347,1908
Norfolk State University,"Norfolk, VA",36.8479,76.2621,1935
,,,,
"North Carolina A&T State University""","Greensboro, NC",36.077,79.7718,1891
North Carolina Central University," Durham, NC ",35.9739,78.8989,1909
,,,,
"Oakwood University""","Huntsville, AL ",34.7524,86.6559,1896
Paul Quinn College,"Dallas, TX ",32.6788,96.7545,1872
Prairie View A&M University,"Prairie View, TX",30.0955,95.9907,1876
Saint Augustine's University,"Raleigh, NC",35.7877,78.6189,1867
,,,,
"Savannah State University"""," Savannah, GA",32.0242,81.0626,1890
Shaw University,"Raleigh, NC",35.771,78.6379,1865
Shelton State Community College,"Tuscaloosa, AL",33.1206,87.5615,1979
South Carolina State University," Orangeburg, SC ",33.4982,80.8493,1896
Southern University and A&M College," Baton Rouge, LA",30.5265,91.1929,1880
Southern University at New Orleans,"New Orleans, LA ",30.0259,90.0449,1956
Southern University at Shreveport,"Shreveport, LA",32.5458,93.8325,1967
Spelman College,"Atlanta, GA",33.7452,84.4114,1881
St. Philips College,"San Antonio, TX",29.3812,98.5502,1898
Stillman College,"Tuscaloosa, AL",33.1983,87.5859,1976
Tennessee State University,"Nashville, TN",36.1684,86.8259,1912
Texas Southern University,"Houston, TX",29.7214,95.3593,1927
Trenholm State Community College,"Montgomery, AL",32.3503,86.343,1966
Tuskegee University,"Tuskegee, AL",32.4308,85.7073,1881
University of Arkansas at Pine Bluff,"Pine Bluff, AR",34.2474,92.0217,1873
University of Maryland Eastern Shore,"Princess Anne, MD",38.21,75.68,1886
University of the District of Columbia,"Washington, DC",38.9447,77.0656,1851
University of the Virgin Islands,"St Thomas 00802, U.S. Virgin Islands",18.3432,64.9729,1962
Virginia State University,"Virginia state university, VA",37.2384,77.4198,1882
Virginia Union University,"Richmond, VA",37.5626,77.4514,1899
West Virginia State University," Institute, WV",38.379,81.7666,1891
Wilberforce University,"Wilberforce, OH ",39.7104,83.8794,1856
Wiley College,"Marshall, TX",32.5385,94.3752,1873
Winston-Salem State University,"Winston-Salem, NC",36.0898,80.225,1892
Xavier University of Louisiana,"New Orleans, LA",29.9632,90.1062,1925